;Produced by Yue Chen, @LANL, on Jul  3, 2018 - Lshell selection performed by Rafael Pires de Lima, on August 12, 2020
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data to be compared to model forecast results: Radial distributions of 1MeV electrons observed by RBSP-a between 20130220 and 20160831
;Columns: S/N, Time (days in hr, counted from 20130220 00:00:00), e- fluxes at L1/L2, .../Ln
;L values are shown in the top row

;format (I5, 3x, f10.4, 43e10.2)

  S/N         Time       4.00      4.10      4.20  
 1727     359.7708   1.42e+01  4.05e+01  8.20e+01  
 1728     359.9792   2.03e+01  4.96e+01  1.11e+02  
 1729     360.1875   1.63e+01  4.44e+01  9.03e+01  
 1730     360.3958   1.73e+01  3.99e+01  8.51e+01  
 1731     360.6042   3.82e+01  8.85e+01  1.46e+02  
 1732     360.8125   5.72e+01  1.02e+02  1.67e+02  
 1733     361.0208   8.56e+01  1.18e+02  1.90e+02  
 1734     361.2292   9.68e+01  1.08e+02  1.32e+02  
 1735     361.4375   9.61e+01  1.17e+02  1.24e+02  
 1736     361.6458   9.05e+01  9.97e+01  1.08e+02  
 1737     361.8542   6.17e+01  7.39e+01  8.84e+01  
 1738     362.0625   6.57e+01  8.04e+01  9.15e+01  
 1739     362.2708   6.90e+01  8.35e+01  9.21e+01  
 1740     362.4792   6.36e+01  7.84e+01  8.84e+01  
 1741     362.6875   6.23e+01  7.62e+01  8.56e+01  
 1742     362.8958   6.10e+01  7.41e+01  8.16e+01  
 1743     363.1042   4.56e+01  5.99e+01  6.91e+01  
 1744     363.3125   5.19e+01  6.81e+01  7.28e+01  
 1745     363.5208   4.80e+01  6.06e+01  6.78e+01  
 1746     363.7292   3.86e+01  5.03e+01  5.98e+01  
 1747     363.9375   2.42e+01  3.29e+01  3.95e+01  
 1748     364.1458   3.48e+01  3.21e+01  3.43e+01  
 1749     364.3542   5.00e+01  5.75e+01  7.13e+01  
 1750     364.5625   2.05e+02  2.45e+02  2.37e+02  
 1751     364.7708   2.43e+02  2.95e+02  3.00e+02  
 1752     364.9792   2.40e+02  2.56e+02  2.61e+02  
 1753     365.1875   3.22e+02  2.58e+02  2.65e+02  
 1754     365.3958   2.54e+02  3.08e+02  3.74e+02  
 1755     365.6042   1.65e+02  2.46e+02  3.43e+02  
 1756     365.8125   6.06e+02  7.09e+02  7.79e+02  
 1757     366.0208   6.56e+02  8.14e+02  8.42e+02  
 1758     366.2292   7.09e+02  8.20e+02  8.56e+02  
 1759     366.4375   6.72e+02  8.03e+02  8.64e+02  
 1760     366.6458   5.94e+02  7.45e+02  8.55e+02  
 1761     366.8542   6.35e+02  7.46e+02  7.98e+02  
 1762     367.0625   5.29e+02  6.08e+02  6.64e+02  
 1763     367.2708   5.71e+02  6.67e+02  7.25e+02  
 1764     367.4792   5.87e+02  7.04e+02  7.88e+02  
 1765     367.6875   6.28e+02  6.72e+02  7.47e+02  
 1766     367.8958   6.12e+02  8.38e+02  9.43e+02  
 1767     368.1042   5.97e+02  7.17e+02  8.22e+02  
 1768     368.3125   8.30e+02  1.09e+03  1.24e+03  
 1769     368.5208   5.80e+02  6.98e+02  8.51e+02  
 1770     368.7292   2.20e+02  3.11e+02  4.40e+02  
 1771     368.9375   4.38e+02  5.55e+02  6.17e+02  
 1772     369.1458   4.10e+02  5.02e+02  5.50e+02  
 1773     369.3542   4.30e+02  5.14e+02  5.87e+02  
 1774     369.5625   4.80e+02  5.57e+02  6.49e+02  
 1775     369.7708   4.85e+02  5.67e+02  6.58e+02  
 1776     369.9792   4.89e+02  5.78e+02  6.44e+02  
 1777     370.1875   5.02e+02  5.90e+02  6.57e+02  
 1778     370.3958   5.08e+02  5.86e+02  6.69e+02  
 1779     370.6042   4.60e+02  5.50e+02  6.16e+02  
 1780     370.8125   4.79e+02  5.77e+02  6.34e+02  
 1781     371.0208   4.08e+02  4.93e+02  5.70e+02  
 1782     371.2292   4.13e+02  5.10e+02  5.62e+02  
 1783     371.4375   3.86e+02  4.75e+02  5.35e+02  
 1784     371.6458   3.85e+02  4.73e+02  5.29e+02  
 1785     371.8542   3.85e+02  4.71e+02  5.23e+02  
 1786     372.0625   3.33e+02  4.15e+02  4.76e+02  
 1787     372.2708   3.67e+02  4.50e+02  4.98e+02  
 1788     372.4792   3.13e+02  3.95e+02  4.55e+02  
 1789     372.6875   2.71e+02  3.46e+02  3.89e+02  
 1790     372.8958   3.56e+01  4.58e+01  4.62e+01  
 1791     373.1042   2.57e+01  2.34e+01  2.12e+01  
 1792     373.3125   4.36e+01  4.29e+01  4.08e+01  
 1793     373.5208   5.16e+01  5.08e+01  4.96e+01  
 1794     373.7292   6.09e+01  6.02e+01  6.02e+01  
 1795     373.9375   6.01e+01  6.12e+01  6.37e+01  
 1796     374.1458   5.57e+01  6.05e+01  5.68e+01  
 1797     374.3542   6.33e+01  6.20e+01  6.18e+01  
 1798     374.5625   7.22e+01  7.75e+01  8.16e+01  
 1799     374.7708   6.76e+01  7.40e+01  7.52e+01  
 1800     374.9792   7.74e+01  8.29e+01  8.49e+01  
 1801     375.1875   7.70e+01  8.54e+01  9.05e+01  
 1802     375.3958   8.29e+01  9.25e+01  9.88e+01  
 1803     375.6042   8.94e+01  1.00e+02  1.08e+02  
 1804     375.8125   8.83e+01  1.02e+02  1.10e+02  
 1805     376.0208   9.41e+01  1.11e+02  1.17e+02  
 1806     376.2292   6.89e+01  7.59e+01  8.35e+01  
 1807     376.4375   7.25e+01  8.41e+01  9.17e+01  
 1808     376.6458   8.68e+01  1.00e+02  1.06e+02  
 1809     376.8542   1.01e+02  1.16e+02  1.28e+02  
 1810     377.0625   8.42e+01  1.01e+02  1.14e+02  
 1811     377.2708   8.01e+01  9.64e+01  1.08e+02  
 1812     377.4792   7.61e+01  9.16e+01  1.02e+02  
 1813     377.6875   7.09e+01  8.70e+01  1.00e+02  
 1814     377.8958   7.68e+01  9.05e+01  1.01e+02  
 1815     378.1042   6.93e+01  8.08e+01  9.43e+01  
 1816     378.3125   7.37e+01  8.45e+01  9.36e+01  
 1817     378.5208   6.88e+01  8.58e+01  9.82e+01  
 1818     378.7292   6.13e+01  7.48e+01  8.29e+01  
 1819     378.9375   6.07e+01  7.23e+01  8.16e+01  
 1820     379.1458   6.07e+01  7.17e+01  8.14e+01  
 1821     379.3542   6.07e+01  7.12e+01  8.48e+01  
 1822     379.5625   4.17e+01  4.80e+01  5.78e+01  
 1823     379.7708   4.78e+01  5.56e+01  6.44e+01  
 1824     379.9792   3.91e+01  4.63e+01  5.20e+01  
 1825     380.1875   4.19e+01  5.16e+01  6.07e+01  
 1826     380.3958   3.98e+01  5.05e+01  5.92e+01  
 1827     380.6042   3.86e+01  5.01e+01  5.77e+01  
 1828     380.8125   4.10e+01  4.98e+01  5.69e+01  
 1829     381.0208   3.97e+01  4.92e+01  5.72e+01  
 1830     381.2292   3.99e+01  4.87e+01  5.90e+01  
 1831     381.4375   3.64e+01  4.30e+01  5.32e+01  
 1832     381.6458   3.46e+01  4.35e+01  5.11e+01  
 1833     381.8542   3.24e+01  3.98e+01  4.68e+01  
 1834     382.0625   3.49e+01  4.33e+01  4.93e+01  
 1835     382.2708   3.02e+01  3.96e+01  4.57e+01  
 1836     382.4792   3.40e+01  4.01e+01  5.07e+01  
 1837     382.6875   3.40e+01  4.28e+01  5.03e+01  
 1838     382.8958   3.03e+01  3.82e+01  4.41e+01  
 1839     383.1042   3.40e+01  4.40e+01  5.07e+01  
 1840     383.3125   3.21e+01  3.95e+01  4.64e+01  
 1841     383.5208   2.65e+01  3.34e+01  3.80e+01  
 1842     383.7292   2.21e+01  2.78e+01  3.31e+01  
 1843     383.9375   2.42e+01  3.23e+01  3.68e+01  
 1844     384.1458   2.40e+01  3.01e+01  3.57e+01  
 1845     384.3542   2.37e+01  3.01e+01  3.55e+01  
 1846     384.5625   2.34e+01  3.02e+01  3.52e+01  
 1847     384.7708   1.97e+01  2.54e+01  2.90e+01  
 1848     384.9792   2.25e+01  2.92e+01  3.29e+01  
 1849     385.1875   1.97e+01  2.47e+01  2.85e+01  
 1850     385.3958   1.99e+01  2.37e+01  2.94e+01  
 1851     385.6042   1.90e+01  2.24e+01  2.81e+01  
 1852     385.8125   2.15e+01  2.64e+01  2.97e+01  
 1853     386.0208   1.21e+01  1.42e+01  1.73e+01  
 1854     386.2292   1.16e+01  1.40e+01  1.70e+01  
 1855     386.4375   1.11e+01  1.38e+01  1.67e+01  
 1856     386.6458   1.18e+01  1.40e+01  1.61e+01  
 1857     386.8542   1.22e+01  1.40e+01  1.64e+01  
 1858     387.0625   1.12e+01  1.42e+01  1.73e+01  
 1859     387.2708   1.22e+01  1.33e+01  1.56e+01  
 1860     387.4792   9.89e+00  1.22e+01  1.51e+01  
 1861     387.6875   8.59e+00  1.11e+01  1.40e+01  
 1862     387.8958   8.75e+00  1.13e+01  1.33e+01  
 1863     388.1042   8.40e+00  1.08e+01  1.26e+01  
 1864     388.3125   8.07e+00  1.04e+01  1.20e+01  
 1865     388.5208   7.24e+00  9.14e+00  1.06e+01  
 1866     388.7292   7.00e+00  9.70e+00  1.10e+01  
 1867     388.9375   6.72e+00  7.81e+00  9.38e+00  
 1868     389.1458   6.50e+00  8.84e+00  9.12e+00  
 1869     389.3542   6.39e+00  8.66e+00  9.73e+00  
 1870     389.5625   6.15e+00  7.38e+00  8.52e+00  
 1871     389.7708   5.97e+00  7.48e+00  8.99e+00  
 1872     389.9792   5.85e+00  7.35e+00  8.61e+00  
 1873     390.1875   5.73e+00  7.22e+00  8.26e+00  
 1874     390.3958   5.43e+00  6.57e+00  7.82e+00  
 1875     390.6042   5.87e+00  7.18e+00  8.33e+00  
 1876     390.8125   5.34e+00  6.44e+00  7.56e+00  
 1877     391.0208   5.54e+00  7.05e+00  7.81e+00  
 1878     391.2292   4.52e+00  5.91e+00  7.07e+00  
 1879     391.4375   4.80e+00  6.04e+00  6.41e+00  
 1880     391.6458   3.96e+00  4.98e+00  5.93e+00  
 1881     391.8542   4.02e+00  4.79e+00  5.80e+00  
 1882     392.0625   4.09e+00  4.62e+00  5.67e+00  
 1883     392.2708   3.69e+00  4.76e+00  5.14e+00  
 1884     392.4792   3.99e+00  4.76e+00  5.53e+00  
 1885     392.6875   3.40e+00  4.54e+00  5.27e+00  
 1886     392.8958   3.96e+00  4.67e+00  6.06e+00  
 1887     393.1042   3.21e+00  4.06e+00  4.99e+00  
 1888     393.3125   3.46e+00  4.44e+00  4.76e+00  
 1889     393.5208   3.49e+00  4.12e+00  5.09e+00  
 1890     393.7292   3.43e+00  3.95e+00  4.89e+00  
 1891     393.9375   3.37e+00  3.79e+00  4.69e+00  
 1892     394.1458   2.62e+00  3.60e+00  3.85e+00  
 1893     394.3542   2.07e+00  3.07e+00  3.56e+00  
 1894     394.5625   2.67e+00  3.02e+00  3.42e+00  
 1895     394.7708   2.26e+00  2.84e+00  2.99e+00  
 1896     394.9792   2.75e+00  2.98e+00  3.64e+00  
 1897     395.1875   2.17e+00  2.76e+00  2.70e+00  
 1898     395.3958   2.14e+00  2.63e+00  3.40e+00  
 1899     395.6042   2.08e+00  2.59e+00  3.40e+00  
 1900     395.8125   2.02e+00  2.56e+00  3.40e+00  
 1901     396.0208   2.21e+00  2.81e+00  3.08e+00  
 1902     396.2292   2.03e+00  2.18e+00  2.81e+00  
 1903     396.4375   1.91e+00  2.46e+00  2.69e+00  
 1904     396.6458   1.78e+00  2.70e+00  3.20e+00  
 1905     396.8542   1.91e+00  2.36e+00  3.02e+00  
 1906     397.0625   1.87e+00  2.44e+00  2.89e+00  
 1907     397.2708   1.89e+00  2.34e+00  2.89e+00  
 1908     397.4792   1.85e+00  2.81e+00  2.67e+00  
 1909     397.6875   1.80e+00  2.22e+00  2.74e+00  
 1910     397.8958   1.92e+00  2.62e+00  3.21e+00  
 1911     398.1042   1.99e+00  2.13e+00  3.15e+00  
 1912     398.3125   1.86e+00  2.33e+00  2.87e+00  
 1913     398.5208   1.90e+00  2.52e+00  3.03e+00  
 1914     398.7292   1.94e+00  2.16e+00  3.38e+00  
 1915     398.9375   2.06e+00  2.90e+00  5.40e+00  
 1916     399.1458   1.87e+00  2.31e+00  3.25e+00  
 1917     399.3542   2.27e+00  2.37e+00  3.58e+00  
 1918     399.5625   1.98e+00  2.82e+00  3.51e+00  
 1919     399.7708   1.96e+00  2.80e+00  3.37e+00  
 1920     399.9792   1.51e+00  2.26e+00  3.69e+00  
 1921     400.1875   2.06e+00  2.65e+00  3.48e+00  
 1922     400.3958   1.59e+00  2.50e+00  3.55e+00  
 1923     400.6042   1.55e+00  1.79e+00  2.66e+00  
 1924     400.8125   1.42e+00  1.65e+00  2.40e+00  
 1925     401.0208   1.36e+00  1.89e+00  2.82e+00  
 1926     401.2292   1.37e+00  1.74e+00  2.36e+00  
 1927     401.4375   1.28e+00  1.84e+00  2.47e+00  
 1928     401.6458   1.32e+00  1.81e+00  2.36e+00  
 1929     401.8542   1.29e+00  1.43e+00  2.08e+00  
 1930     402.0625   1.32e+00  1.49e+00  1.87e+00  
 1931     402.2708   9.97e-01  1.43e+00  1.60e+00  
 1932     402.4792   1.11e+00  1.28e+00  1.88e+00  
 1933     402.6875   1.12e+00  1.92e+00  1.78e+00  
 1934     402.8958   1.13e+00  1.54e+00  2.11e+00  
 1935     403.1042   1.14e+00  1.33e+00  2.17e+00  
 1936     403.3125   1.34e+00  1.50e+00  2.45e+00  
 1937     403.5208   1.50e+00  1.73e+00  2.55e+00  
 1938     403.7292   1.15e+00  1.71e+00  2.57e+00  
 1939     403.9375   1.13e+00  1.78e+00  2.54e+00  
 1940     404.1458   1.38e+00  1.89e+00  2.49e+00  
 1941     404.3542   1.58e+00  1.96e+00  2.51e+00  
 1942     404.5625   1.35e+00  1.71e+00  2.40e+00  
 1943     404.7708   1.15e+00  1.49e+00  2.30e+00  
 1944     404.9792   1.31e+00  1.56e+00  2.66e+00  
 1945     405.1875   1.42e+00  1.73e+00  2.22e+00  
 1946     405.3958   1.29e+00  1.72e+00  2.53e+00  
 1947     405.6042   1.25e+00  1.60e+00  2.58e+00  
 1948     405.8125   1.34e+00  1.71e+00  2.26e+00  
 1949     406.0208   1.36e+00  1.77e+00  2.66e+00  
 1950     406.2292   1.35e+00  1.79e+00  2.82e+00  
 1951     406.4375   1.35e+00  1.79e+00  2.79e+00  
 1952     406.6458   1.35e+00  1.79e+00  2.76e+00  
 1953     406.8542   1.33e+00  1.97e+00  2.66e+00  
 1954     407.0625   1.16e+00  1.80e+00  2.61e+00  
 1955     407.2708   1.43e+00  1.85e+00  2.54e+00  
 1956     407.4792   1.17e+00  1.68e+00  2.44e+00  
 1957     407.6875   1.16e+00  1.62e+00  2.02e+00  
 1958     407.8958   1.38e+00  1.52e+00  2.28e+00  
 1959     408.1042   1.24e+00  1.67e+00  2.38e+00  
 1960     408.3125   1.17e+00  1.79e+00  2.44e+00  
 1961     408.5208   1.10e+00  1.91e+00  2.50e+00  
 1962     408.7292   1.24e+00  1.61e+00  2.46e+00  
 1963     408.9375   1.49e+00  1.82e+00  2.46e+00  
 1964     409.1458   1.41e+00  2.00e+00  3.14e+00  
 1965     409.3542   1.49e+00  1.89e+00  3.44e+00  
 1966     409.5625   1.18e+00  1.78e+00  2.09e+00  
 1967     409.7708   1.58e+00  2.09e+00  3.71e+00  
 1968     409.9792   1.63e+00  2.67e+00  4.09e+00  
 1969     410.1875   1.92e+00  2.96e+00  4.58e+00  
 1970     410.3958   2.25e+00  3.28e+00  5.13e+00  
 1971     410.6042   2.28e+00  3.22e+00  4.89e+00  
 1972     410.8125   2.29e+00  3.80e+00  5.31e+00  
 1973     411.0208   2.10e+00  3.14e+00  5.11e+00  
 1974     411.2292   1.56e+00  3.02e+00  3.38e+00  
 1975     411.4375   1.91e+00  2.60e+00  4.01e+00  
 1976     411.6458   3.41e+00  3.63e+00  5.65e+00  
 1977     411.8542   2.07e+00  2.97e+00  4.64e+00  
 1978     412.0625   2.02e+00  3.06e+00  5.16e+00  
 1979     412.2708   1.96e+00  3.15e+00  4.54e+00  
 1980     412.4792   1.62e+00  2.62e+00  3.66e+00  
 1981     412.6875   1.75e+00  3.05e+00  4.69e+00  
 1982     412.8958   2.13e+00  3.35e+00  4.48e+00  
 1983     413.1042   2.03e+00  2.87e+00  4.07e+00  
 1984     413.3125   1.68e+00  2.35e+00  3.94e+00  
 1985     413.5208   1.72e+00  2.63e+00  3.94e+00  
 1986     413.7292   1.44e+00  2.26e+00  3.12e+00  
 1987     413.9375   2.08e+00  1.91e+00  3.01e+00  
 1988     414.1458   1.24e+00  2.04e+00  2.68e+00  
 1989     414.3542   1.25e+00  1.78e+00  2.55e+00  
 1990     414.5625   1.33e+00  1.87e+00  2.73e+00  
 1991     414.7708   1.32e+00  2.01e+00  2.75e+00  
 1992     414.9792   1.42e+00  2.06e+00  3.02e+00  
 1993     415.1875   1.53e+00  1.89e+00  3.03e+00  
 1994     415.3958   1.46e+00  2.17e+00  2.73e+00  
 1995     415.6042   1.29e+00  1.51e+00  2.24e+00  
 1996     415.8125   1.04e+00  1.22e+00  1.35e+00  
 1997     416.0208   8.37e-01  1.24e+00  1.33e+00  
 1998     416.2292   8.06e-01  7.68e-01  9.32e-01  
 1999     416.4375   9.28e-01  1.18e+00  2.20e+00  
 2000     416.6458   4.38e+01  1.16e+02  1.99e+02  
 2001     416.8542   6.15e+01  1.49e+02  2.57e+02  
 2002     417.0625   7.47e+01  2.14e+02  3.42e+02  
 2003     417.2708   9.87e+01  9.26e+01  1.60e+02  
 2004     417.4792   1.30e+02  2.43e+02  3.49e+02  
 2005     417.6875   1.52e+02  2.65e+02  4.26e+02  
 2006     417.8958   1.77e+02  2.89e+02  3.14e+02  
 2007     418.1042   2.42e+02  3.90e+02  4.63e+02  
 2008     418.3125   2.28e+02  3.62e+02  4.22e+02  
 2009     418.5208   2.50e+02  3.74e+02  4.53e+02  
 2010     418.7292   2.51e+02  3.84e+02  4.63e+02  
 2011     418.9375   2.32e+02  3.50e+02  4.15e+02  
 2012     419.1458   2.17e+02  3.31e+02  4.02e+02  
 2013     419.3542   2.04e+02  3.14e+02  3.90e+02  
 2014     419.5625   2.49e+02  3.52e+02  4.34e+02  
 2015     419.7708   2.04e+02  3.01e+02  3.82e+02  
 2016     419.9792   2.39e+02  3.34e+02  4.05e+02  
 2017     420.1875   2.23e+02  3.15e+02  3.76e+02  
 2018     420.3958   1.96e+02  2.86e+02  3.59e+02  
 2019     420.6042   1.74e+02  2.61e+02  3.47e+02  
 2020     420.8125   2.07e+02  2.87e+02  3.66e+02  
 2021     421.0208   1.91e+02  2.62e+02  3.32e+02  
 2022     421.2292   1.76e+02  2.39e+02  3.01e+02  
 2023     421.4375   1.94e+02  2.51e+02  3.20e+02  
 2024     421.6458   9.83e+01  1.57e+02  2.17e+02  
 2025     421.8542   1.74e+02  2.43e+02  3.01e+02  
 2026     422.0625   1.50e+02  2.07e+02  2.55e+02  
 2027     422.2708   1.42e+02  2.19e+02  2.92e+02  
 2028     422.4792   1.48e+02  2.04e+02  2.53e+02  
 2029     422.6875   1.81e+02  2.49e+02  3.13e+02  
 2030     422.8958   1.79e+02  2.40e+02  3.04e+02  
 2031     423.1042   1.78e+02  2.32e+02  2.96e+02  
 2032     423.3125   1.24e+02  1.69e+02  2.15e+02  
 2033     423.5208   1.20e+02  1.63e+02  2.14e+02  
 2034     423.7292   1.50e+02  1.99e+02  2.59e+02  
 2035     423.9375   1.30e+02  1.67e+02  2.09e+02  
 2036     424.1458   1.42e+02  1.81e+02  2.24e+02  
 2037     424.3542   1.26e+02  1.65e+02  1.98e+02  
 2038     424.5625   1.49e+02  1.94e+02  2.15e+02  
 2039     424.7708   1.42e+02  1.79e+02  2.01e+02  
 2040     424.9792   1.35e+02  1.65e+02  1.88e+02  
 2041     425.1875   1.09e+02  1.28e+02  1.43e+02  
 2042     425.3958   1.03e+02  1.27e+02  1.42e+02  
 2043     425.6042   9.84e+01  1.09e+02  1.18e+02  
 2044     425.8125   9.85e+01  1.15e+02  1.36e+02  
 2045     426.0208   1.09e+02  1.25e+02  1.43e+02  
 2046     426.2292   8.79e+01  1.15e+02  1.34e+02  
 2047     426.4375   1.07e+02  1.35e+02  1.59e+02  
 2048     426.6458   1.04e+02  1.30e+02  1.55e+02  
 2049     426.8542   1.00e+02  1.24e+02  1.51e+02  
 2050     427.0625   8.95e+01  1.20e+02  1.58e+02  
 2051     427.2708   8.94e+01  1.16e+02  1.45e+02  
 2052     427.4792   7.61e+01  1.04e+02  1.30e+02  
 2053     427.6875   7.65e+01  9.74e+01  1.23e+02  
 2054     427.8958   7.76e+01  1.04e+02  1.33e+02  
 2055     428.1042   6.82e+01  8.91e+01  1.05e+02  
 2056     428.3125   5.09e+01  6.91e+01  9.43e+01  
 2057     428.5208   4.75e+01  6.54e+01  8.78e+01  
 2058     428.7292   4.43e+01  6.20e+01  8.18e+01  
 2059     428.9375   3.99e+01  5.60e+01  7.60e+01  
 2060     429.1458   4.04e+01  5.51e+01  7.41e+01  
 2061     429.3542   3.79e+01  5.34e+01  7.19e+01  
 2062     429.5625   3.26e+01  4.84e+01  6.58e+01  
 2063     429.7708   3.59e+01  5.16e+01  7.23e+01  
 2064     429.9792   2.67e+01  4.08e+01  5.78e+01  
 2065     430.1875   2.58e+01  3.89e+01  5.40e+01  
 2066     430.3958   2.30e+01  3.56e+01  5.05e+01  
 2067     430.6042   2.05e+01  3.25e+01  4.72e+01  
 2068     430.8125   2.26e+01  3.46e+01  4.81e+01  
 2069     431.0208   2.08e+01  3.22e+01  4.70e+01  
 2070     431.2292   2.12e+01  3.26e+01  5.00e+01  
 2071     431.4375   1.97e+01  3.06e+01  4.71e+01  
 2072     431.6458   2.18e+01  3.56e+01  5.26e+01  
 2073     431.8542   2.19e+01  3.59e+01  5.50e+01  
 2074     432.0625   2.02e+01  3.12e+01  4.90e+01  
 2075     432.2708   1.37e+01  2.02e+01  2.86e+01  
 2076     432.4792   1.17e+01  1.81e+01  2.89e+01  
 2077     432.6875   1.40e+01  2.19e+01  3.39e+01  
 2078     432.8958   1.25e+01  2.12e+01  3.12e+01  
 2079     433.1042   1.26e+01  1.98e+01  3.15e+01  
 2080     433.3125   1.28e+01  1.89e+01  3.07e+01  
 2081     433.5208   1.30e+01  2.12e+01  3.13e+01  
 2082     433.7292   1.27e+01  2.08e+01  3.16e+01  
 2083     433.9375   1.28e+01  2.06e+01  3.09e+01  
 2084     434.1458   4.91e+00  6.90e+00  9.14e+00  
 2085     434.3542   3.25e+00  4.76e+00  6.10e+00  
 2086     434.5625   3.53e+00  5.51e+00  7.67e+00  
 2087     434.7708   3.75e+00  5.06e+00  7.79e+00  
 2088     434.9792   6.15e+00  1.15e+01  2.28e+01  
 2089     435.1875   6.41e+00  1.18e+01  2.15e+01  
 2090     435.3958   9.38e+00  1.98e+01  4.58e+01  
 2091     435.6042   1.10e+01  2.23e+01  4.74e+01  
 2092     435.8125   1.28e+01  3.28e+01  7.12e+01  
 2093     436.0208   9.42e+00  2.30e+01  5.53e+01  
 2094     436.2292   1.03e+01  2.73e+01  6.02e+01  
 2095     436.4375   1.29e+01  3.19e+01  9.20e+01  
 2096     436.6458   1.23e+01  3.06e+01  7.39e+01  
 2097     436.8542   1.59e+01  4.01e+01  8.59e+01  
 2098     437.0625   1.59e+01  4.48e+01  9.20e+01  
 2099     437.2708   1.80e+01  4.82e+01  1.03e+02  
 2100     437.4792   2.18e+01  7.16e+01  1.17e+02  
 2101     437.6875   2.64e+01  1.06e+02  1.68e+02  
 2102     437.8958   5.85e+00  1.25e+01  2.47e+01  
 2103     438.1042   8.31e+00  2.41e+01  3.87e+01  
 2104     438.3125   3.97e+00  8.92e+00  1.74e+01  
 2105     438.5208   9.39e+00  2.10e+01  4.37e+01  
 2106     438.7292   2.69e+01  4.26e+01  6.78e+01  
 2107     438.9375   2.72e+01  5.01e+01  7.22e+01  
 2108     439.1458   2.54e+01  4.71e+01  6.80e+01  
 2109     439.3542   2.60e+01  4.90e+01  7.20e+01  
 2110     439.5625   2.65e+01  5.10e+01  7.62e+01  
 2111     439.7708   2.35e+01  4.35e+01  6.48e+01  
 2112     439.9792   1.81e+01  3.76e+01  6.11e+01  
 2113     440.1875   2.32e+01  4.17e+01  6.00e+01  
 2114     440.3958   2.27e+01  4.13e+01  6.29e+01  
 2115     440.6042   2.93e+01  4.96e+01  6.87e+01  
 2116     440.8125   2.70e+01  4.67e+01  6.66e+01  
 2117     441.0208   2.68e+01  4.70e+01  6.79e+01  
 2118     441.2292   2.58e+01  4.57e+01  6.58e+01  
 2119     441.4375   2.49e+01  4.45e+01  6.37e+01  
 2120     441.6458   2.15e+01  3.73e+01  5.05e+01  
 2121     441.8542   2.01e+01  3.44e+01  4.77e+01  
 2122     442.0625   1.31e+01  2.55e+01  4.02e+01  
 2123     442.2708   8.07e+00  1.41e+01  2.18e+01  
 2124     442.4792   8.55e+00  1.46e+01  1.74e+01  
 2125     442.6875   8.29e+00  1.21e+01  1.70e+01  
 2126     442.8958   7.62e+00  1.19e+01  1.48e+01  
 2127     443.1042   7.35e+00  1.21e+01  1.67e+01  
 2128     443.3125   7.09e+00  1.24e+01  1.88e+01  
 2129     443.5208   1.12e+01  2.01e+01  3.55e+01  
 2130     443.7292   1.21e+01  2.23e+01  3.72e+01  
 2131     443.9375   1.28e+01  2.59e+01  4.85e+01  
 2132     444.1458   1.21e+01  2.17e+01  4.25e+01  
 2133     444.3542   7.73e+00  1.51e+01  2.83e+01  
 2134     444.5625   9.28e+00  2.17e+01  4.34e+01  
 2135     444.7708   1.01e+01  1.97e+01  3.85e+01  
 2136     444.9792   8.03e+00  1.57e+01  3.11e+01  
 2137     445.1875   6.36e+00  1.25e+01  2.51e+01  
 2138     445.3958   8.39e+00  1.91e+01  3.54e+01  
 2139     445.6042   9.17e+00  2.21e+01  4.83e+01  
 2140     445.8125   7.94e+00  1.73e+01  3.66e+01  
 2141     446.0208   1.05e+01  2.36e+01  4.76e+01  
 2142     446.2292   1.25e+01  2.49e+01  5.53e+01  
 2143     446.4375   8.60e+00  1.88e+01  3.59e+01  
 2144     446.6458   1.91e+01  3.98e+01  7.73e+01  
 2145     446.8542   2.08e+01  4.27e+01  8.98e+01  
 2146     447.0625   2.27e+01  4.57e+01  7.07e+01  
 2147     447.2708   1.88e+01  4.60e+01  8.69e+01  
 2148     447.4792   2.71e+01  5.39e+01  9.05e+01  
 2149     447.6875   3.00e+01  6.05e+01  1.02e+02  
 2150     447.8958   3.17e+01  6.39e+01  1.06e+02  
 2151     448.1042   3.15e+01  6.18e+01  1.11e+02  
 2152     448.3125   3.23e+01  6.18e+01  1.00e+02  
 2153     448.5208   3.34e+01  5.94e+01  1.00e+02  
 2154     448.7292   3.07e+01  5.68e+01  9.39e+01  
 2155     448.9375   2.81e+01  5.43e+01  8.81e+01  
 2156     449.1458   3.39e+01  5.85e+01  9.27e+01  
 2157     449.3542   3.09e+01  5.76e+01  9.10e+01  
 2158     449.5625   3.76e+01  6.51e+01  1.05e+02  
 2159     449.7708   3.32e+01  6.23e+01  9.46e+01  
 2160     449.9792   3.39e+01  6.48e+01  9.46e+01  
 2161     450.1875   2.77e+01  5.02e+01  7.92e+01  
 2162     450.3958   3.15e+01  5.57e+01  8.67e+01  
 2163     450.6042   2.78e+01  4.96e+01  7.85e+01  
 2164     450.8125   2.46e+01  4.41e+01  7.11e+01  
 2165     451.0208   2.62e+01  4.61e+01  6.80e+01  
 2166     451.2292   2.27e+01  4.08e+01  6.36e+01  
 2167     451.4375   2.07e+01  3.81e+01  5.94e+01  
 2168     451.6458   2.19e+01  3.91e+01  5.96e+01  
 2169     451.8542   2.57e+01  4.65e+01  7.43e+01  
