;Produced by Yue Chen, @LANL, on Jul  3, 2018
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data used as inputs for forecasting models: OMNI data between 20130220 and 20160831
;Columns: S/N, Time (days in hr, counted from 20130220 00:00:00), Dst(nT), upstream solar wind speed (km/s), upstream solar wind proton density
;

;format (I5, 3x, f15.4, 3e15.2)

  S/N              Time            Dst      S/W speed     S/W p+ den
    1            0.1875      -3.50e+00       3.52e+02       9.00e+00
    2            0.3958      -3.50e+00       3.86e+02       6.95e+00
    3            0.6042      -1.85e+01       3.90e+02       6.00e+00
    4            0.8125      -1.30e+01       3.84e+02       6.60e+00
    5            1.0208      -1.20e+01       4.13e+02       9.20e+00
    6            1.2292      -5.50e+00       4.10e+02       8.90e+00
    7            1.4375       5.50e+00       4.02e+02       9.45e+00
    8            1.6458      -5.50e+00       3.88e+02       8.30e+00
    9            1.8542      -1.35e+01       3.92e+02       8.45e+00
   10            2.0625      -2.25e+01       3.90e+02       6.85e+00
   11            2.2708      -1.10e+01       3.90e+02       5.80e+00
   12            2.4792      -7.50e+00       3.88e+02       6.20e+00
   13            2.6875      -2.25e+01       3.90e+02       5.15e+00
   14            2.8958      -1.95e+01       3.88e+02       5.00e+00
   15            3.1042      -3.10e+01       3.66e+02       6.05e+00
   16            3.3125      -1.00e+01       3.60e+02       5.35e+00
   17            3.5208      -1.15e+01       3.76e+02       5.40e+00
   18            3.7292      -1.35e+01       3.76e+02       5.70e+00
   19            3.9375      -2.10e+01       3.63e+02       5.80e+00
   20            4.1458      -2.05e+01       3.52e+02       5.15e+00
   21            4.3542      -8.00e+00       3.40e+02       6.40e+00
   22            4.5625      -7.50e+00       3.38e+02       4.75e+00
   23            4.7708      -9.50e+00       3.21e+02       4.90e+00
   24            4.9792      -7.50e+00       3.15e+02       5.90e+00
   25            5.1875       5.00e-01       3.26e+02       8.55e+00
   26            5.3958       1.50e+01       3.32e+02       1.52e+01
   27            5.6042       1.40e+01       3.38e+02       1.51e+01
   28            5.8125       1.70e+01       3.49e+02       2.15e+01
   29            6.0208       1.00e+00       3.47e+02       1.28e+01
   30            6.2292       9.50e+00       3.39e+02       1.20e+01
   31            6.4375       1.30e+01       3.25e+02       1.01e+01
   32            6.6458      -6.00e+00       3.14e+02       1.03e+01
   33            6.8542      -1.35e+01       3.13e+02       7.30e+00
   34            7.0625      -3.00e+00       3.01e+02       9.15e+00
   35            7.2708       5.00e+00       3.20e+02       1.43e+01
   36            7.4792       8.50e+00       3.20e+02       1.40e+01
   37            7.6875       7.50e+00       3.30e+02       8.65e+00
   38            7.8958       2.00e+00       3.37e+02       1.00e+01
   39            8.1042       4.00e+00       3.26e+02       1.71e+01
   40            8.3125       8.50e+00       3.26e+02       1.41e+01
   41            8.5208      -1.00e+00       3.21e+02       1.49e+01
   42            8.7292       8.50e+00       3.40e+02       1.53e+01
   43            8.9375      -1.25e+01       3.77e+02       1.46e+01
   44            9.1458      -2.00e+01       3.98e+02       8.25e+00
   45            9.3542      -2.70e+01       4.75e+02       9.15e+00
   46            9.5625      -3.10e+01       5.58e+02       1.10e+01
   47            9.7708      -3.90e+01       6.16e+02       4.55e+00
   48            9.9792      -4.30e+01       6.18e+02       3.05e+00
   49           10.1875      -2.95e+01       6.03e+02       2.80e+00
   50           10.3958      -1.90e+01       5.96e+02       2.35e+00
   51           10.6042      -2.50e+01       5.06e+02       3.35e+00
   52           10.8125      -2.20e+01       5.16e+02       4.05e+00
   53           11.0208      -2.15e+01       5.01e+02       2.80e+00
   54           11.2292      -1.95e+01       5.02e+02       2.70e+00
   55           11.4375      -1.40e+01       4.66e+02       2.75e+00
   56           11.6458      -1.60e+01       4.34e+02       2.70e+00
   57           11.8542      -2.15e+01       4.56e+02       2.55e+00
   58           12.0625      -3.05e+01       4.50e+02       2.35e+00
   59           12.2708      -1.75e+01       4.67e+02       2.65e+00
   60           12.4792      -1.10e+01       4.40e+02       2.65e+00
   61           12.6875      -9.50e+00       4.16e+02       3.15e+00
   62           12.8958      -1.65e+01       4.00e+02       3.45e+00
   63           13.1042      -1.45e+01       3.89e+02       3.50e+00
   64           13.3125      -8.50e+00       3.66e+02       3.65e+00
   65           13.5208      -3.00e+00       3.47e+02       4.05e+00
   66           13.7292      -8.00e+00       3.56e+02       3.90e+00
   67           13.9375      -6.50e+00       3.47e+02       6.30e+00
   68           14.1458      -1.25e+01       3.28e+02       7.65e+00
   69           14.3542      -2.00e+00       3.18e+02       1.02e+01
   70           14.5625       3.50e+00       3.10e+02       8.90e+00
   71           14.7708       8.50e+00       3.16e+02       1.72e+01
   72           14.9792       5.00e-01       3.14e+02       8.35e+00
   73           15.1875       7.00e+00       3.16e+02       1.34e+01
   74           15.3958       5.50e+00       3.33e+02       9.20e+00
   75           15.6042       3.00e+00       3.38e+02       9.60e+00
   76           15.8125      -5.00e-01       3.35e+02       7.80e+00
   77           16.0208       5.50e+00       3.19e+02       9.05e+00
   78           16.2292       6.50e+00       3.00e+02       1.02e+01
   79           16.4375       5.00e+00       3.12e+02       1.11e+01
   80           16.6458       1.50e+00       3.14e+02       8.30e+00
   81           16.8542      -5.00e-01       3.19e+02       6.10e+00
   82           17.0625       2.00e+00       3.40e+02       9.00e+00
   83           17.2708       0.00e+00       3.34e+02       1.11e+01
   84           17.4792       5.00e-01       3.26e+02       9.45e+00
   85           17.6875       3.50e+00       3.34e+02       9.05e+00
   86           17.8958       3.50e+00       3.49e+02       9.55e+00
   87           18.1042       1.10e+01       3.35e+02       1.43e+01
   88           18.3125       7.00e+00       3.26e+02       9.25e+00
   89           18.5208       1.25e+01       3.16e+02       1.02e+01
   90           18.7292       1.00e+01       3.12e+02       1.27e+01
   91           18.9375      -4.50e+00       3.20e+02       1.55e+01
   92           19.1458       3.50e+00       3.07e+02       1.47e+01
   93           19.3542      -5.00e-01       3.08e+02       1.27e+01
   94           19.5625       8.50e+00       3.07e+02       1.20e+01
   95           19.7708       1.00e+00       3.13e+02       1.23e+01
   96           19.9792       1.00e+01       3.12e+02       1.51e+01
   97           20.1875       9.00e+00       2.97e+02       1.09e+01
   98           20.3958       1.75e+01       3.24e+02       1.28e+01
   99           20.6042       1.20e+01       3.26e+02       1.89e+01
  100           20.8125       9.50e+00       3.20e+02       1.82e+01
  101           21.0208      -1.50e+00       3.20e+02       1.19e+01
  102           21.2292       1.50e+00       3.26e+02       1.14e+01
  103           21.4375       8.00e+00       3.22e+02       9.10e+00
  104           21.6458       8.50e+00       3.12e+02       1.00e+01
  105           21.8542       9.00e+00       3.14e+02       1.22e+01
  106           22.0625       9.00e+00       3.08e+02       1.47e+01
  107           22.2708       6.50e+00       3.06e+02       5.85e+00
  108           22.4792       1.35e+01       3.12e+02       6.85e+00
  109           22.6875       8.50e+00       3.20e+02       1.18e+01
  110           22.8958       5.00e+00       3.68e+02       6.75e+00
  111           23.1042       1.00e+00       3.54e+02       5.80e+00
  112           23.3125      -4.50e+00       4.57e+02       1.09e+01
  113           23.5208       1.00e+00       4.52e+02       5.70e+00
  114           23.7292       1.00e+00       4.50e+02       4.45e+00
  115           23.9375      -2.50e+00       4.40e+02       3.40e+00
  116           24.1458      -1.95e+01       4.62e+02       4.15e+00
  117           24.3542      -2.30e+01       4.72e+02       3.50e+00
  118           24.5625      -1.10e+01       4.44e+02       2.65e+00
  119           24.7708      -8.00e+00       4.26e+02       2.95e+00
  120           24.9792      -1.10e+01       4.16e+02       3.60e+00
  121           25.1875      -7.50e+00       4.20e+02       3.55e+00
  122           25.3958      -7.75e+01       6.98e+02       9.15e+00
  123           25.6042      -9.00e+01       6.71e+02       5.55e+00
  124           25.8125      -1.24e+02       6.13e+02       3.85e+00
  125           26.0208      -9.10e+01       6.25e+02       2.70e+00
  126           26.2292      -6.20e+01       5.74e+02       1.30e+00
  127           26.4375      -4.30e+01       5.50e+02       2.15e+00
  128           26.6458      -4.95e+01       5.03e+02       2.20e+00
  129           26.8542      -4.65e+01       4.82e+02       2.25e+00
  130           27.0625      -4.60e+01       4.56e+02       1.70e+00
  131           27.2708      -3.60e+01       4.62e+02       1.60e+00
  132           27.4792      -3.70e+01       4.72e+02       7.50e-01
  133           27.6875      -3.05e+01       4.56e+02       2.70e+00
  134           27.8958      -3.45e+01       4.92e+02       2.85e+00
  135           28.1042      -3.10e+01       5.04e+02       2.75e+00
  136           28.3125      -2.80e+01       4.67e+02       2.65e+00
  137           28.5208      -2.35e+01       4.41e+02       2.90e+00
  138           28.7292      -3.70e+01       5.81e+02       2.55e+00
  139           28.9375      -3.90e+01       5.18e+02       2.75e+00
  140           29.1458      -5.40e+01       4.66e+02       1.70e+00
  141           29.3542      -5.00e+01       4.46e+02       2.75e+00
  142           29.5625      -3.55e+01       4.24e+02       2.60e+00
  143           29.7708      -3.50e+01       4.22e+02       2.90e+00
  144           29.9792      -2.45e+01       4.38e+02       3.15e+00
  145           30.1875      -1.80e+01       4.20e+02       3.60e+00
  146           30.3958      -2.10e+01       3.94e+02       1.35e+00
  147           30.6042      -1.35e+01       4.00e+02       4.00e+00
  148           30.8125      -2.95e+01       3.74e+02       4.65e+00
  149           31.0208      -1.65e+01       3.73e+02       4.15e+00
  150           31.2292      -9.00e+00       3.76e+02       5.15e+00
  151           31.4375      -1.45e+01       3.83e+02       7.10e+00
  152           31.6458      -1.75e+01       3.55e+02       7.35e+00
  153           31.8542      -1.45e+01       3.98e+02       1.71e+01
  154           32.0625      -7.50e+00       4.23e+02       1.56e+01
  155           32.2708      -8.00e+00       4.27e+02       8.80e+00
  156           32.4792      -6.00e+00       4.17e+02       6.55e+00
  157           32.6875      -1.70e+01       3.90e+02       4.30e+00
  158           32.8958      -1.75e+01       3.86e+02       3.90e+00
  159           33.1042      -1.20e+01       3.74e+02       3.95e+00
  160           33.3125      -7.00e+00       3.80e+02       7.30e+00
  161           33.5208      -5.00e+00       3.78e+02       4.45e+00
  162           33.7292       2.50e+00       3.80e+02       1.39e+01
  163           33.9375      -8.00e+00       3.92e+02       6.70e+00
  164           34.1458      -4.00e+00       3.98e+02       6.30e+00
  165           34.3542      -7.00e+00       3.76e+02       5.25e+00
  166           34.5625      -5.00e+00       3.76e+02       5.85e+00
  167           34.7708      -7.50e+00       3.56e+02       7.50e+00
  168           34.9792       4.00e+00       3.70e+02       9.80e+00
  169           35.1875      -6.50e+00       3.66e+02       1.19e+01
  170           35.3958      -1.80e+01       4.16e+02       1.20e+01
  171           35.6042      -9.50e+00       5.06e+02       8.40e+00
  172           35.8125      -2.75e+01       5.15e+02       5.35e+00
  173           36.0208      -2.70e+01       4.92e+02       4.75e+00
  174           36.2292      -2.45e+01       4.64e+02       3.95e+00
  175           36.4375      -2.10e+01       4.27e+02       5.15e+00
  176           36.6458      -1.85e+01       4.02e+02       6.00e+00
  177           36.8542      -2.80e+01       3.90e+02       6.15e+00
  178           37.0625      -1.95e+01       4.14e+02       6.00e+00
  179           37.2708      -4.60e+01       4.38e+02       6.40e+00
  180           37.4792      -4.50e+01       4.44e+02       1.03e+01
  181           37.6875      -6.00e+01       4.80e+02       7.00e+00
  182           37.8958      -4.65e+01       5.42e+02       3.65e+00
  183           38.1042      -4.00e+01       5.53e+02       3.75e+00
  184           38.3125      -3.70e+01       5.56e+02       3.25e+00
  185           38.5208      -3.05e+01       5.58e+02       1.65e+00
  186           38.7292      -3.65e+01       5.40e+02       1.65e+00
  187           38.9375      -3.10e+01       5.38e+02       1.95e+00
  188           39.1458      -1.35e+01       5.04e+02       3.20e+00
  189           39.3542      -2.05e+01       4.86e+02       2.75e+00
  190           39.5625      -1.70e+01       4.72e+02       2.70e+00
  191           39.7708      -2.80e+01       4.74e+02       2.30e+00
  192           39.9792      -1.85e+01       4.69e+02       1.80e+00
  193           40.1875      -2.10e+01       4.44e+02       2.30e+00
  194           40.3958      -2.85e+01       4.29e+02       3.15e+00
  195           40.6042      -2.25e+01       4.33e+02       2.20e+00
  196           40.8125      -2.20e+01       4.18e+02       2.70e+00
  197           41.0208      -1.80e+01       3.78e+02       3.05e+00
  198           41.2292      -1.45e+01       3.56e+02       3.15e+00
  199           41.4375      -1.40e+01       3.46e+02       2.90e+00
  200           41.6458      -8.50e+00       3.44e+02       2.95e+00
  201           41.8542      -1.05e+01       3.44e+02       2.90e+00
  202           42.0625      -1.25e+01       3.36e+02       3.40e+00
  203           42.2708      -1.00e+01       3.20e+02       2.85e+00
  204           42.4792      -1.10e+01       3.16e+02       2.85e+00
  205           42.6875      -8.50e+00       3.06e+02       3.70e+00
  206           42.8958      -1.45e+01       2.95e+02       4.00e+00
  207           43.1042      -1.15e+01       3.03e+02       5.15e+00
  208           43.3125      -8.00e+00       3.13e+02       6.25e+00
  209           43.5208      -1.50e+01       3.08e+02       5.20e+00
  210           43.7292      -1.75e+01       2.94e+02       4.85e+00
  211           43.9375      -1.60e+01       2.86e+02       4.95e+00
  212           44.1458      -1.20e+01       2.66e+02       4.15e+00
  213           44.3542      -9.00e+00       2.72e+02       3.25e+00
  214           44.5625      -5.00e+00       2.78e+02       5.80e+00
  215           44.7708      -1.50e+00       2.68e+02       6.00e+00
  216           44.9792      -3.00e+00       2.88e+02       1.28e+01
  217           45.1875       1.50e+00       3.04e+02       9.80e+00
  218           45.3958      -3.50e+00       3.23e+02       5.20e+00
  219           45.6042      -6.00e+00       3.50e+02       4.60e+00
  220           45.8125      -1.25e+01       3.40e+02       4.35e+00
  221           46.0208      -9.00e+00       3.35e+02       5.50e+00
  222           46.2292      -1.20e+01       3.36e+02       6.40e+00
  223           46.4375      -1.00e+00       3.40e+02       9.25e+00
  224           46.6458      -7.00e+00       3.32e+02       8.60e+00
  225           46.8542      -6.00e+00       3.50e+02       7.45e+00
  226           47.0625      -8.00e+00       3.20e+02       5.00e+00
  227           47.2708      -5.50e+00       3.32e+02       4.00e+00
  228           47.4792      -5.00e+00       3.43e+02       4.45e+00
  229           47.6875      -4.00e+00       3.39e+02       5.05e+00
  230           47.8958      -5.50e+00       3.54e+02       4.35e+00
  231           48.1042      -6.50e+00       3.46e+02       2.15e+00
  232           48.3125      -3.00e+00       3.52e+02       3.20e+00
  233           48.5208      -3.50e+00       3.28e+02       2.05e+00
  234           48.7292      -1.00e+00       3.44e+02       2.30e+00
  235           48.9375      -4.50e+00       3.42e+02       2.90e+00
  236           49.1458       8.00e+00       3.22e+02       9.60e+00
  237           49.3542       6.50e+00       3.44e+02       5.35e+00
  238           49.5625       5.00e+00       3.43e+02       6.25e+00
  239           49.7708       8.00e+00       3.76e+02       6.05e+00
  240           49.9792       3.50e+00       3.69e+02       6.30e+00
  241           50.1875       1.00e+01       3.70e+02       6.40e+00
  242           50.3958       4.50e+00       4.08e+02       5.55e+00
  243           50.6042       1.15e+01       4.47e+02       4.95e+00
  244           50.8125      -5.00e-01       4.70e+02       4.00e+00
  245           51.0208      -6.00e+00       4.67e+02       4.05e+00
  246           51.2292      -1.00e+00       4.72e+02       3.85e+00
  247           51.4375       2.00e+00       4.52e+02       3.45e+00
  248           51.6458       4.00e+00       4.34e+02       2.95e+00
  249           51.8542       1.50e+00       4.41e+02       2.95e+00
  250           52.0625      -4.00e+00       4.20e+02       3.20e+00
  251           52.2708      -1.00e+00       4.18e+02       2.80e+00
  252           52.4792      -3.00e+00       3.96e+02       2.95e+00
  253           52.6875      -1.00e+00       3.92e+02       3.15e+00
  254           52.8958       1.00e+00       3.80e+02       3.60e+00
  255           53.1042       2.10e+01       5.09e+02       1.08e+01
  256           53.3125      -1.00e+00       5.12e+02       1.20e+01
  257           53.5208       1.55e+01       4.88e+02       1.38e+01
  258           53.7292       1.10e+01       4.59e+02       1.03e+01
  259           53.9375       3.50e+00       4.53e+02       6.05e+00
  260           54.1458       4.00e+00       4.25e+02       2.75e+00
  261           54.3542      -3.50e+00       4.14e+02       1.45e+00
  262           54.5625       5.00e-01       3.82e+02       1.00e+00
  263           54.7708       5.00e-01       3.80e+02       1.30e+00
  264           54.9792      -4.50e+00       3.91e+02       2.65e+00
  265           55.1875       4.00e+00       3.88e+02       3.10e+00
  266           55.3958       1.50e+00       3.78e+02       2.65e+00
  267           55.6042       4.50e+00       3.78e+02       2.75e+00
  268           55.8125      -1.25e+01       3.59e+02       3.15e+00
  269           56.0208      -1.25e+01       3.42e+02       2.75e+00
  270           56.2292      -9.50e+00       3.42e+02       3.20e+00
  271           56.4375      -7.50e+00       3.44e+02       3.55e+00
  272           56.6458      -6.50e+00       3.42e+02       3.60e+00
  273           56.8542      -2.00e+00       3.31e+02       4.05e+00
  274           57.0625      -4.50e+00       3.13e+02       4.90e+00
  275           57.2708       2.00e+00       3.02e+02       4.95e+00
  276           57.4792       7.00e+00       2.88e+02       5.60e+00
  277           57.6875      -5.00e-01       2.88e+02       6.05e+00
  278           57.8958      -3.50e+00       2.90e+02       5.20e+00
  279           58.1042       5.00e-01       2.90e+02       3.80e+00
  280           58.3125      -5.00e-01       2.80e+02       3.70e+00
  281           58.5208       1.00e+00       2.88e+02       5.00e+00
  282           58.7292       4.00e+00       2.97e+02       7.30e+00
  283           58.9375       3.00e+00       2.97e+02       7.25e+00
  284           59.1458       1.05e+01       2.98e+02       1.20e+01
  285           59.3542       6.50e+00       2.94e+02       9.85e+00
  286           59.5625       5.50e+00       3.00e+02       8.10e+00
  287           59.7708      -3.50e+00       2.90e+02       8.15e+00
  288           59.9792       8.50e+00       2.93e+02       1.32e+01
  289           60.1875       9.50e+00       2.88e+02       1.03e+01
  290           60.3958       4.50e+00       2.86e+02       4.80e+00
  291           60.6042       5.50e+00       2.74e+02       4.45e+00
  292           60.8125       1.75e+01       2.86e+02       1.98e+01
  293           61.0208       1.25e+01       2.79e+02       1.44e+01
  294           61.2292       9.00e+00       2.79e+02       1.45e+01
  295           61.4375       5.00e+00       2.68e+02       8.80e+00
  296           61.6458       7.50e+00       2.64e+02       1.13e+01
  297           61.8542       4.50e+00       2.63e+02       1.37e+01
  298           62.0625       1.20e+01       2.72e+02       1.92e+01
  299           62.2708       1.55e+01       2.93e+02       2.62e+01
  300           62.4792       1.65e+01       2.86e+02       2.33e+01
  301           62.6875       2.05e+01       2.96e+02       1.93e+01
  302           62.8958       1.15e+01       3.10e+02       2.05e+01
  303           63.1042      -1.75e+01       3.31e+02       3.60e+01
  304           63.3125      -1.35e+01       3.30e+02       3.03e+01
  305           63.5208      -1.65e+01       3.70e+02       2.59e+01
  306           63.7292      -4.60e+01       3.66e+02       9.30e+00
  307           63.9375      -4.20e+01       4.07e+02       9.85e+00
  308           64.1458      -2.45e+01       4.20e+02       8.90e+00
  309           64.3542      -2.10e+01       4.27e+02       5.90e+00
  310           64.5625      -1.40e+01       4.44e+02       4.60e+00
  311           64.7708      -2.15e+01       5.27e+02       2.95e+00
  312           64.9792      -1.85e+01       5.18e+02       3.50e+00
  313           65.1875      -2.60e+01       5.37e+02       4.95e+00
  314           65.3958      -3.50e+01       5.58e+02       4.00e+00
  315           65.6042      -2.05e+01       5.47e+02       3.45e+00
  316           65.8125      -2.20e+01       5.45e+02       2.80e+00
  317           66.0208      -2.45e+01       5.46e+02       2.05e+00
  318           66.2292      -1.55e+01       5.28e+02       1.85e+00
  319           66.4375      -1.70e+01       5.23e+02       1.45e+00
  320           66.6458      -1.40e+01       4.92e+02       1.85e+00
  321           66.8542      -1.50e+01       4.42e+02       1.80e+00
  322           67.0625      -9.00e+00       4.24e+02       2.65e+00
  323           67.2708      -3.00e+00       4.14e+02       4.50e+00
  324           67.4792      -1.10e+01       4.06e+02       5.50e+00
  325           67.6875      -6.00e+00       4.56e+02       3.60e+00
  326           67.8958      -1.10e+01       4.31e+02       2.90e+00
  327           68.1042      -5.00e+00       4.23e+02       2.75e+00
  328           68.3125      -8.00e+00       4.10e+02       2.75e+00
  329           68.5208      -7.50e+00       3.93e+02       2.80e+00
  330           68.7292       2.50e+00       3.82e+02       4.55e+00
  331           68.9375      -5.00e+00       3.58e+02       3.40e+00
  332           69.1458      -7.00e+00       3.50e+02       3.20e+00
  333           69.3542      -1.20e+01       3.52e+02       4.15e+00
  334           69.5625      -5.00e-01       4.26e+02       8.20e+00
  335           69.7708       0.00e+00       3.90e+02       6.05e+00
  336           69.9792      -7.00e+00       3.78e+02       6.05e+00
  337           70.1875      -2.40e+01       3.94e+02       7.40e+00
  338           70.3958      -4.15e+01       4.38e+02       8.05e+00
  339           70.6042      -4.60e+01       4.14e+02       3.85e+00
  340           70.8125      -6.20e+01       4.42e+02       4.85e+00
  341           71.0208      -4.40e+01       4.77e+02       4.00e+00
  342           71.2292      -3.75e+01       4.60e+02       3.85e+00
  343           71.4375      -2.95e+01       4.68e+02       3.40e+00
  344           71.6458      -2.40e+01       4.53e+02       2.95e+00
  345           71.8542      -2.50e+01       4.32e+02       2.75e+00
  346           72.0625      -1.95e+01       4.38e+02       2.55e+00
  347           72.2708      -1.50e+01       4.22e+02       2.65e+00
  348           72.4792      -1.30e+01       4.13e+02       2.45e+00
  349           72.6875      -9.00e+00       4.02e+02       2.90e+00
  350           72.8958      -1.05e+01       3.81e+02       3.10e+00
  351           73.1042      -9.00e+00       3.72e+02       3.50e+00
  352           73.3125      -8.00e+00       3.62e+02       3.10e+00
  353           73.5208      -8.00e+00       3.75e+02       2.90e+00
  354           73.7292      -1.30e+01       3.77e+02       2.70e+00
  355           73.9375      -1.85e+01       3.56e+02       3.15e+00
  356           74.1458      -2.30e+01       3.68e+02       3.50e+00
  357           74.3542      -1.85e+01       3.66e+02       4.10e+00
  358           74.5625      -4.50e+00       3.64e+02       5.20e+00
  359           74.7708       0.00e+00       4.16e+02       5.75e+00
  360           74.9792       4.00e+00       4.20e+02       6.45e+00
  361           75.1875       6.50e+00       4.24e+02       8.80e+00
  362           75.3958       2.50e+00       4.94e+02       6.60e+00
  363           75.6042       1.65e+01       5.33e+02       5.55e+00
  364           75.8125       9.00e+00       4.90e+02       6.35e+00
  365           76.0208      -5.00e+00       4.98e+02       7.80e+00
  366           76.2292      -4.50e+00       5.02e+02       5.90e+00
  367           76.4375       1.00e+00       5.28e+02       4.20e+00
  368           76.6458       4.50e+00       5.44e+02       2.75e+00
  369           76.8542      -2.00e+00       5.36e+02       3.15e+00
  370           77.0625       3.00e+00       5.22e+02       2.80e+00
  371           77.2708      -5.00e-01       5.08e+02       3.05e+00
  372           77.4792       0.00e+00       5.16e+02       2.35e+00
  373           77.6875      -1.00e+00       4.90e+02       2.45e+00
  374           77.8958       0.00e+00       4.96e+02       2.40e+00
  375           78.1042      -3.00e+00       4.92e+02       2.50e+00
  376           78.3125       2.50e+00       4.84e+02       2.50e+00
  377           78.5208       6.50e+00       4.76e+02       2.65e+00
  378           78.7292       1.50e+00       4.84e+02       2.10e+00
  379           78.9375       1.10e+01       4.51e+02       2.40e+00
  380           79.1458       8.50e+00       4.30e+02       2.85e+00
  381           79.3542       4.50e+00       4.34e+02       2.10e+00
  382           79.5625       6.50e+00       4.33e+02       2.15e+00
  383           79.7708       9.50e+00       4.22e+02       2.10e+00
  384           79.9792       8.50e+00       4.20e+02       2.60e+00
  385           80.1875       7.50e+00       3.96e+02       2.90e+00
  386           80.3958       7.00e+00       3.98e+02       2.80e+00
  387           80.6042       2.00e+00       3.93e+02       2.65e+00
  388           80.8125       7.00e+00       3.80e+02       2.85e+00
  389           81.0208       5.00e+00       3.77e+02       2.80e+00
  390           81.2292       2.50e+00       3.59e+02       3.55e+00
  391           81.4375       2.00e+00       3.51e+02       2.85e+00
  392           81.6458       9.00e+00       3.34e+02       3.05e+00
  393           81.8542       1.25e+01       3.41e+02       3.25e+00
  394           82.0625       9.00e+00       3.37e+02       3.20e+00
  395           82.2708       1.05e+01       3.56e+02       4.85e+00
  396           82.4792       1.20e+01       3.58e+02       5.10e+00
  397           82.6875       1.60e+01       3.55e+02       7.05e+00
  398           82.8958       1.85e+01       3.62e+02       9.70e+00
  399           83.1042       1.25e+01       3.56e+02       6.35e+00
  400           83.3125       1.35e+01       3.66e+02       9.20e+00
  401           83.5208      -7.50e+00       3.88e+02       7.20e+00
  402           83.7292      -7.50e+00       3.66e+02       6.95e+00
  403           83.9375       5.00e-01       3.37e+02       1.09e+01
  404           84.1458       8.50e+00       3.28e+02       1.21e+01
  405           84.3542       1.60e+01       3.60e+02       1.63e+01
  406           84.5625       1.60e+01       4.06e+02       1.21e+01
  407           84.7708       1.45e+01       4.29e+02       8.40e+00
  408           84.9792       1.10e+01       4.12e+02       1.04e+01
  409           85.1875       0.00e+00       4.11e+02       1.37e+01
  410           85.3958       5.00e-01       3.92e+02       3.40e+00
  411           85.6042       9.50e+00       3.91e+02       1.01e+01
  412           85.8125      -1.20e+01       3.76e+02       5.65e+00
  413           86.0208      -2.70e+01       3.78e+02       3.85e+00
  414           86.2292      -1.85e+01       3.70e+02       4.20e+00
  415           86.4375       2.50e+00       3.98e+02       8.90e+00
  416           86.6458       6.50e+00       4.00e+02       1.43e+01
  417           86.8542      -4.50e+00       3.86e+02       4.70e+00
  418           87.0625      -2.10e+01       4.33e+02       1.31e+01
  419           87.2708      -4.85e+01       4.22e+02       1.03e+01
  420           87.4792      -3.30e+01       4.10e+02       7.40e+00
  421           87.6875      -2.20e+01       4.26e+02       7.05e+00
  422           87.8958      -3.65e+01       4.00e+02       4.96e+00
  423           88.1042      -3.65e+01       3.66e+02       4.75e+00
  424           88.3125      -3.20e+01       3.76e+02       4.95e+00
  425           88.5208      -4.30e+01       3.83e+02       3.70e+00
  426           88.7292      -3.60e+01       3.66e+02       5.65e+00
  427           88.9375      -2.25e+01       3.82e+02       8.30e+00
  428           89.1458      -6.50e+00       4.04e+02       1.11e+01
  429           89.3542      -7.50e+00       3.66e+02       6.10e+00
  430           89.5625      -1.50e+00       3.86e+02       7.20e+00
  431           89.7708      -6.50e+00       3.91e+02       4.55e+00
  432           89.9792      -1.10e+01       4.02e+02       5.60e+00
  433           90.1875      -1.15e+01       3.64e+02       4.20e+00
  434           90.3958      -4.00e+00       3.80e+02       3.00e+00
  435           90.6042      -3.00e+00       3.94e+02       2.10e+00
  436           90.8125      -6.50e+00       4.32e+02       1.70e+00
  437           91.0208      -1.15e+01       4.64e+02       4.65e+00
  438           91.2292       5.50e+00       4.64e+02       7.45e+00
  439           91.4375       8.50e+00       4.54e+02       1.31e+01
  440           91.6458       9.00e+00       4.50e+02       1.25e+01
  441           91.8542      -1.35e+01       4.34e+02       5.60e+00
  442           92.0625      -4.50e+00       4.66e+02       2.85e+00
  443           92.2708       0.00e+00       4.12e+02       5.90e+00
  444           92.4792       0.00e+00       4.00e+02       4.85e+00
  445           92.6875      -1.50e+00       4.02e+02       3.85e+00
  446           92.8958      -1.20e+01       4.17e+02       4.95e+00
  447           93.1042      -1.00e+00       4.52e+02       6.00e+00
  448           93.3125      -4.00e+00       4.56e+02       3.20e+00
  449           93.5208      -1.85e+01       4.52e+02       3.05e+00
  450           93.7292      -8.00e+00       4.76e+02       8.30e+00
  451           93.9375      -1.65e+01       5.42e+02       1.01e+01
  452           94.1458      -3.95e+01       5.22e+02       6.10e+00
  453           94.3542      -2.95e+01       5.10e+02       4.90e+00
  454           94.5625      -2.25e+01       5.41e+02       4.85e+00
  455           94.7708      -4.95e+01       6.24e+02       2.20e+00
  456           94.9792      -2.90e+01       7.30e+02       6.45e+00
  457           95.1875      -3.05e+01       7.03e+02       2.75e+00
  458           95.3958      -3.60e+01       6.86e+02       1.80e+00
  459           95.6042      -2.50e+01       6.45e+02       1.50e+00
  460           95.8125      -2.85e+01       6.08e+02       1.40e+00
  461           96.0208      -2.60e+01       6.22e+02       8.50e-01
  462           96.2292      -2.55e+01       6.54e+02       1.05e+00
  463           96.4375      -1.70e+01       6.73e+02       1.25e+00
  464           96.6458      -1.65e+01       6.88e+02       1.10e+00
  465           96.8542      -2.40e+01       7.04e+02       1.55e+00
